#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:27Z,23.04,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:28Z,23.04,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:29Z,23.03,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:30Z,23.03,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:31Z,23.03,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:32Z,23.02,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:33Z,23.02,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:36Z,23.01,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:37Z,23.01,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:38Z,23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:39Z,23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:40Z,23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:43Z,22.99,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:44Z,22.98,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:45Z,22.98,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:46Z,22.98,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:47Z,22.97,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:48Z,23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:49Z,22.99,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:50Z,23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:51Z,23.01,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:52Z,23.01,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:53Z,23.01,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:54Z,23.02,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:55Z,23.02,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:57Z,23.04,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:58Z,23.05,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:59Z,23.05,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:00Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:01Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:02Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:03Z,23.07,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:04Z,23.08,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:05Z,23.08,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:06Z,23.05,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:07Z,22.89,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:08Z,22.38,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:09Z,21.85,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:10Z,21.34,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:11Z,20.74,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:12Z,20.15,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:13Z,19.58,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:14Z,19.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:15Z,19.05,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:16Z,18.76,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:17Z,18.48,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:18Z,18.09,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:19Z,17.73,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:20Z,17.43,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:21Z,16.93,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:22Z,16.57,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:23Z,16.16,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:24Z,15.78,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:25Z,15.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:26Z,15.03,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:27Z,14.79,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:28Z,14.64,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:29Z,14.43,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:30Z,14.14,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:31Z,13.81,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:32Z,13.55,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:33Z,13.41,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:34Z,13.17,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:35Z,12.97,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:36Z,12.76,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:37Z,12.58,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:39Z,12.32,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:45:40Z,12.12,value,temperature
